year,type,country,lat,lon,deaths,search_key
1970,Earthquake,China,24.185,102.543,10000,china earthquake
1970,Earthquake,Colombia,6.375,-77.438,0,colombia earthquake
1970,Earthquake,Ecuador,-4.026,-80.542,29,ecuador earthquake
1970,Earthquake,India,21.7,73,26,india earthquake
1971,Earthquake,Chile,-32.601,-71.076,85,chile earthquake
1973,Earthquake,Costa Rica,10.679,-84.759,21,costa rica earthquake
1974,Earthquake,China,28.4,104.1,20000,china earthquake
1975,Earthquake,China,40.641,122.58,2000,china earthquake
1975,Earthquake,India,32.455,78.43,47,india earthquake
1976,Earthquake,Afghanistan,36.61,67.79,50,afghanistan earthquake
1976,Earthquake,China,39.57,117.978,242000,china earthquake
1976,Earthquake,China,30.37 N,104.06 E,0,china earthquake
1976,Earthquake,Ecuador,0.782,79.804,10,ecuador earthquake
1976,Earthquake,Ecuador,0.14 S,78.30 W,10,ecuador earthquake
1976,Volcanic activity,Ecuador,-0.677,-78.436,1,ecuador volcanic activity
1976,Earthquake,Guatemala,15.324,-89.101,23000,guatemala earthquake
1976,Earthquake,Indonesia,-4.603,140.091,420,indonesia earthquake
1976,Earthquake,Indonesia,-8.17,114.888,573,indonesia earthquake
1976,Earthquake,Indonesia,-4.517,139.918,133,indonesia earthquake
1977,Earthquake,Indonesia,-11.164,118.378,185,indonesia earthquake
1977,Earthquake,Argentina,-31.028,-67.767,70,argentina earthquake
1977,Earthquake,Bulgaria,45.77 N,26.76 E,20,bulgaria earthquake
1978,Earthquake,Greece,40.739,23.229,50,greece earthquake
1970,Earthquake,Peru,-9.183,-78.737,66794,peru earthquake
1970,Earthquake,Papua New Guinea,-4.999,145.396,15,papua new guinea earthquake
1970,Earthquake,Iran (Islamic Republic of),37.733,55.885,176,iran (islamic republic of) earthquake
1970,Earthquake,Peru,-4.026,-80.542,29,peru earthquake
1970,Earthquake,Philippines (the),15.791,121.630,14,philippines (the) earthquake
1970,Earthquake,Turkey,39.098,29.570,1086,turkey earthquake
1971,Earthquake,Italy,42.5,11.8,22,italy earthquake
1971,Earthquake,Turkey,37.6,29.8,57,turkey earthquake
1971,Earthquake,Turkey,38.934,40.653,878,turkey earthquake
1971,Earthquake,United States of America (the),34.416,-118.37,65,united states of america (the) earthquake
1972,Earthquake,Iran (Islamic Republic of),28.415,52.765,5057,iran (islamic republic of) earthquake
1972,Earthquake,Italy,43.8,13.3,1,italy earthquake
1972,Earthquake,Nicaragua,12.184,-86.223,10000,nicaragua earthquake
1972,Earthquake,Pakistan,36,73.4,100,pakistan earthquake
1972,Earthquake,Peru,-6.855,-76.726,12,peru earthquake
1973,Earthquake,Mexico,18.481,-102.996,56,mexico earthquake
1973,Earthquake,Mexico,18.267,-96.598,500,mexico earthquake
1973,Earthquake,Philippines (the),13.372,122.787,14,philippines (the) earthquake
1974,Earthquake,Japan,34.522,138.74,30,japan earthquake
1974,Earthquake,Pakistan,35.1,72.9,4700,pakistan earthquake
1974,Earthquake,Peru,-12.265,-77.795,78,peru earthquake
